id,name,category,emoji,current_image,image_url,notes
believe-in-aliens,להאמין בחייזרים,conspiracy,👽,,,
deep-state,דיפ סטייט,conspiracy,🕴️,,,
flat-earth,תיאוריית הארץ השטוחה,conspiracy,🌍,,,
moon-landing-hoax,תיאוריית זיוף הנחיתה על הירח,conspiracy,🌕,,,
car-trade-in,טרייד־אין כל שנתיים,consumer,🚗,,,
football-shirts,ללכת עם חולצות כדורגל,consumer,🎽,,,
prefer-android,להעדיף אנדרואיד על אייפון,consumer,🤖,,,
prefer-iphone,להעדיף אייפון על אנדרואיד,consumer,📱,,,
roladin,רולדין,consumer,🥐,,,
second-hand-clothes,בגדים יד שנייה,consumer,🧥,,,
shoresh-sandals,סנדלי שורש,consumer,🩴,,,
billboard-proposal,הצעת נישואין עם שלט גדול,events,📣,,,
friday-night-party,מסיבה בשישי בערב,events,🪩,,,
friday-noon-wedding,חתונת שישי בצהריים,events,💍,,,
going-to-theatre,ללכת לתיאטרון,events,🎭,,,
black-coffee-glass,קפה שחור בכוס זכוכית,food,☕,,,
borekas,בורקס,food,🥟,img/borekas-1786203351.webp,,
corn-pizza,פיצה עם תירס,food,🌽,,,
falafel-over-shawarma,להעדיף פלאפל על שווארמה,food,🧆,,,
focaccia-everywhere,פוקצ׳ה בכל מסעדה,food,🥖,,,
goldstar-beer,בירה גולדסטאר,food,🍺,,,
homemade-kombucha,קומבוצ׳ה ביתית,food,🫙,,,
park-bbq,מנגל בפארק הלאומי,food,🍖,,,
shawarma-over-falafel,להעדיף שווארמה על פלאפל,food,🌯,,,
soy-milk-coffee,קפה עם חלב סויה,food,🥛,,,
vegan-food,אוכל טבעוני,food,🥦,,,
catan,קטאן,games,🎲,,,
chess,שחמט,games,♟️,img/chess-1786203371.svg,,
lotto,למלא לוטו,games,🎰,,,
monopoly,מונופול,games,🎩,,,
poker,פוקר,games,🃏,img/poker-1786203371.webp,,
winner-betting,למלא ווינר,games,🎯,,,
covered-sofa,ספה עם כיסוי,home,🛋️,,,
fridge-magnets,מלא מגנטים על המקרר,home,🧲,,,
home-sign,שלט HOME בכניסה לבית,home,🏠,,,
keter-chairs,כיסאות כתר בגינה,home,🪑,,,
kitchen-sign,שלט KITCHEN במטבח,home,🍳,,,
adopted-dog,כלב מעורב מאומץ,social,🐕,,,
anti-ai,להתנגד לשימוש בבינה מלאכותית,social,🧠,,,
cats-over-dogs,להעדיף חתולים על כלבים,social,🐱,,,
dogs-over-cats,להעדיף כלבים על חתולים,social,🐶,,,
metal-music,מוזיקת מטאל,social,🤘,,,
no-tip,לא להשאיר טיפ,social,🧾,,,
not-voting,לא להצביע בבחירות,social,🗳️,,,
pedigree-cat,חתול גזעי,social,🐈,,,
work-from-cafes,לעבוד מבתי קפה,social,💻,,,
6am-workout,אימון כושר בשש בבוקר,sport,🏋️,,,
barcelona,ברצלונה,sport,🔵,,,
hapoel-beer-sheva,הפועל באר שבע,sport,🔴,,,
ice-skating,החלקה על הקרח,sport,⛸️,,,
maccabi-haifa,מכבי חיפה,sport,🟢,,,
maccabi-tel-aviv,מכבי תל אביב,sport,🟡,,,
messi-over-ronaldo,להעדיף את מסי על רונאלדו,sport,🐐,,,
psg,פריז סן-ז'רמן,sport,🗼,,,
puccivelli,פוצ'יוולי,sport,🏐,,,
real-madrid,ריאל מדריד,sport,👑,,,
rhythmic-gymnastics,התעמלות אומנותית,sport,🤸,,,
ronaldo-over-messi,להעדיף את רונאלדו על מסי,sport,⚽,,,
stepup-competition,לנסות לנצח בסטפ־אפ,sport,👟,,,
sup-kinneret,סאפ בכנרת,sport,🏄,,,
berlin-vacation,חופשה בברלין,travel,✈️,,,
dubai-vacation,חופשה בדובאי,travel,🏙️,,,
elal-only,לטוס רק עם אל על,travel,🛫,,,
zimmer-jacuzzi,צימר עם ג׳קוזי,travel,🛁,,,
big-brother,האח הגדול,tv,📺,,,
pay-for-big-brother,לשלם לערוץ האח הגדול,tv,💳,,,
spongebob,בובספוג,tv,🧽,,,
sport-channel,ערוץ הספורט,tv,📡,,,
the-voice,דה וויס,tv,🎤,,,
